"10.1017/S0956536113000047","SHIFTING ALLIANCES: EPICLASSIC AND EARLY POSTCLASSIC INTERACTIONS AT CERRO PORTEZUELO","Destiny L. Crider, ","24",1,"","2013-01-01T00:00:00Z","107-130",""
"","AZTEC-PERIOD POLITICAL ORGANIZATION IN THE TEOTIHUACAN 
VALLEYOtumba as a city-state","Susan Toby
Evans,","12",1,"","2001-01-01T00:00:00Z","89-100",""
"10.1017/S095653610000105X","Lords of the Hills","Nicholas P. Dunning, Jeff Karl Kowalski, ","5",1,"","1994-01-01T00:00:00Z","63-95",""
"10.2307/25063055","Long-Term Trends in Prehistoric Fishing and Hunting on Tobago, West Indies","David W. Steadman, Sharyn Jones, ","17",3,"","2006-01-01T00:00:00Z","316-334",""
"10.2307/25063055","Long-Term Trends in Prehistoric Fishing and Hunting on Tobago, West Indies","David W. Steadman, Sharyn Jones, ","17",3,"","2006-01-01T00:00:00Z","316-334",""
"10.2307/25063055","Long-Term Trends in Prehistoric Fishing and Hunting on Tobago, West Indies","David W. Steadman, Sharyn Jones, ","17",3,"","2006-01-01T00:00:00Z","316-334",""
"10.2307/25063055","Long-Term Trends in Prehistoric Fishing and Hunting on Tobago, West Indies","David W. Steadman, Sharyn Jones, ","17",3,"","2006-01-01T00:00:00Z","316-334",""
"10.2307/25063055","Long-Term Trends in Prehistoric Fishing and Hunting on Tobago, West Indies","David W. Steadman, Sharyn Jones, ","17",3,"","2006-01-01T00:00:00Z","316-334",""
"10.7183/1045-6635.27.3.318","Results from Pilot Archaeological Fieldwork at the Carrazedo Site, Lower Xingu River, Amazonia","Anna T. Browne Ribeiro, Helena P. Lima, Fernando L. T. Marques, Morgan J. Schmidt, Kevin S. McDaniel, ","27",3,"","2016-01-01T00:00:00Z","318-339",""
"10.1017/S104566350001587X","","Jon C. Lohse, Barbara Voorhies, ","27",3,"","2016-01-01T00:00:00Z","436-437",""
"10.2307/4141578","Ceramic Diversity in Chavn De Huantar, Peru","Isabelle C. Druc, ","15",3,"","2004-01-01T00:00:00Z","344-363",""
"10.2307/972065","","Ruth Fauman-Fichman, Penelope Ballard Drooker, Laurie D. Webster, ","12",2,"","2001-01-01T00:00:00Z","226-227",""
"10.2307/972065","","Ruth Fauman-Fichman, Penelope Ballard Drooker, Laurie D. Webster, ","12",2,"","2001-01-01T00:00:00Z","226-227",""
"10.2307/972065","","Ruth Fauman-Fichman, Penelope Ballard Drooker, Laurie D. Webster, ","12",2,"","2001-01-01T00:00:00Z","226-227",""
"10.2307/971623","","Anthony P. Andrews, Thomas H. Guderjan, James F. Garber, ","7",2,"","1996-01-01T00:00:00Z","173-174",""
"10.1017/S0956536112000107","THE GROWTH AND DECLINE OF THE ANCIENT MAYA CITY OF LA MILPA, BELIZE: NEW DATA AND NEW PERSPECTIVES FROM THE SOUTHERN PLAZAS","Gregory Zaro, Brett A. Houk, ","23",1,"","2012-01-01T00:00:00Z","143-159",""
"10.2307/972064","","Ernesto Salazar, Robert E. Bell. R.E., ","12",2,"","2001-01-01T00:00:00Z","226-226",""
"10.2307/972064","","Ernesto Salazar, Robert E. Bell. R.E., ","12",2,"","2001-01-01T00:00:00Z","226-226",""
"10.2307/972064","","Ernesto Salazar, Robert E. Bell. R.E., ","12",2,"","2001-01-01T00:00:00Z","226-226",""
