"10.1017/S0956536113000047","SHIFTING ALLIANCES: EPICLASSIC AND EARLY POSTCLASSIC INTERACTIONS AT CERRO PORTEZUELO","Destiny L. Crider, ","24",1,"","2013-01-01T00:00:00Z","107-130",""
"10.2307/972236","Indigenous Ware or Spanish Import? The Case of Indgena Ware and Approaches to Power in Colonial Mexico","Enrique Rodrguez-Alegra, Hector Neff, Michael D. Glascock, ","14",1,"","2003-01-01T00:00:00Z","67-81",""
"10.7183/1045-6635.25.3.344","Materializing Power through Practice in the Late Postclassic Naco Valley, Northwestern Honduras","Edward M. Schortman, Patricia A. Urban, ","25",3,"","2014-01-01T00:00:00Z","344-368",""
"10.1017/S0956536113000102","AN ARCHAEOLOGY OF CERRO PORTEZUELO BIOARCHAEOLOGY: BURIAL ANALYSIS AND THE (RE)EXCAVATION OF CONTEXTS FROM A 1950s PROJECT","Michael W. Spence, Christine D. White, Fred J. Longstaffe, ","24",1,"","2013-01-01T00:00:00Z","185-199",""
"10.1017/S0956536113000102","AN ARCHAEOLOGY OF CERRO PORTEZUELO BIOARCHAEOLOGY: BURIAL ANALYSIS AND THE (RE)EXCAVATION OF CONTEXTS FROM A 1950s PROJECT","Michael W. Spence, Christine D. White, Fred J. Longstaffe, ","24",1,"","2013-01-01T00:00:00Z","185-199",""
"10.1017/S0956536100000407","The Templo de Quetzalcoatl Project at Teotihuacan: A Preliminary Report","Rubn Cabrera Castro, Saburo Sugiyama, George L. Cowgill, ","2",1,"","1991-01-01T00:00:00Z","77-92",""
"10.1017/S0956536100000407","The Templo de Quetzalcoatl Project at Teotihuacan: A Preliminary Report","Rubn Cabrera Castro, Saburo Sugiyama, George L. Cowgill, ","2",1,"","1991-01-01T00:00:00Z","77-92",""
"10.1017/S0956536100000407","The Templo de Quetzalcoatl Project at Teotihuacan: A Preliminary Report","Rubn Cabrera Castro, Saburo Sugiyama, George L. Cowgill, ","2",1,"","1991-01-01T00:00:00Z","77-92",""
"10.1017/S0956536100000407","The Templo de Quetzalcoatl Project at Teotihuacan: A Preliminary Report","Rubn Cabrera Castro, Saburo Sugiyama, George L. Cowgill, ","2",1,"","1991-01-01T00:00:00Z","77-92",""
"10.1017/S0956536100000407","The Templo de Quetzalcoatl Project at Teotihuacan: A Preliminary Report","Rubn Cabrera Castro, Saburo Sugiyama, George L. Cowgill, ","2",1,"","1991-01-01T00:00:00Z","77-92",""
"10.1017/S0956536100000407","The Templo de Quetzalcoatl Project at Teotihuacan: A Preliminary Report","Rubn Cabrera Castro, Saburo Sugiyama, George L. Cowgill, ","2",1,"","1991-01-01T00:00:00Z","77-92",""
"10.1017/S0956536100000407","The Templo de Quetzalcoatl Project at Teotihuacan: A Preliminary Report","Rubn Cabrera Castro, Saburo Sugiyama, George L. Cowgill, ","2",1,"","1991-01-01T00:00:00Z","77-92",""
"10.1017/S0956536100000407","The Templo de Quetzalcoatl Project at Teotihuacan: A Preliminary Report","Rubn Cabrera Castro, Saburo Sugiyama, George L. Cowgill, ","2",1,"","1991-01-01T00:00:00Z","77-92",""
"10.1017/S0956536100000407","The Templo de Quetzalcoatl Project at Teotihuacan: A Preliminary Report","Rubn Cabrera Castro, Saburo Sugiyama, George L. Cowgill, ","2",1,"","1991-01-01T00:00:00Z","77-92",""
"10.1017/S0956536100000407","The Templo de Quetzalcoatl Project at Teotihuacan: A Preliminary Report","Rubn Cabrera Castro, Saburo Sugiyama, George L. Cowgill, ","2",1,"","1991-01-01T00:00:00Z","77-92",""
"10.1017/S0956536100000407","The Templo de Quetzalcoatl Project at Teotihuacan: A Preliminary Report","Rubn Cabrera Castro, Saburo Sugiyama, George L. Cowgill, ","2",1,"","1991-01-01T00:00:00Z","77-92",""
"10.1017/S0956536100000407","The Templo de Quetzalcoatl Project at Teotihuacan: A Preliminary Report","Rubn Cabrera Castro, Saburo Sugiyama, George L. Cowgill, ","2",1,"","1991-01-01T00:00:00Z","77-92",""
"10.1017/S0956536100000407","The Templo de Quetzalcoatl Project at Teotihuacan: A Preliminary Report","Rubn Cabrera Castro, Saburo Sugiyama, George L. Cowgill, ","2",1,"","1991-01-01T00:00:00Z","77-92",""
"10.1017/S0956536100000407","The Templo de Quetzalcoatl Project at Teotihuacan: A Preliminary Report","Rubn Cabrera Castro, Saburo Sugiyama, George L. Cowgill, ","2",1,"","1991-01-01T00:00:00Z","77-92",""
"10.1017/S0956536100000407","The Templo de Quetzalcoatl Project at Teotihuacan: A Preliminary Report","Rubn Cabrera Castro, Saburo Sugiyama, George L. Cowgill, ","2",1,"","1991-01-01T00:00:00Z","77-92",""
"10.1017/S0956536100000407","The Templo de Quetzalcoatl Project at Teotihuacan: A Preliminary Report","Rubn Cabrera Castro, Saburo Sugiyama, George L. Cowgill, ","2",1,"","1991-01-01T00:00:00Z","77-92",""
"10.1017/S0956536100000407","The Templo de Quetzalcoatl Project at Teotihuacan: A Preliminary Report","Rubn Cabrera Castro, Saburo Sugiyama, George L. Cowgill, ","2",1,"","1991-01-01T00:00:00Z","77-92",""
"","AZTEC-PERIOD POLITICAL ORGANIZATION IN THE TEOTIHUACAN 
VALLEYOtumba as a city-state","Susan Toby
Evans,","12",1,"","2001-01-01T00:00:00Z","89-100",""
"","AZTEC-PERIOD POLITICAL ORGANIZATION IN THE TEOTIHUACAN 
VALLEYOtumba as a city-state","Susan Toby
Evans,","12",1,"","2001-01-01T00:00:00Z","89-100",""
"","AZTEC-PERIOD POLITICAL ORGANIZATION IN THE TEOTIHUACAN 
VALLEYOtumba as a city-state","Susan Toby
Evans,","12",1,"","2001-01-01T00:00:00Z","89-100",""
"","AZTEC-PERIOD POLITICAL ORGANIZATION IN THE TEOTIHUACAN 
VALLEYOtumba as a city-state","Susan Toby
Evans,","12",1,"","2001-01-01T00:00:00Z","89-100",""
"","AZTEC-PERIOD POLITICAL ORGANIZATION IN THE TEOTIHUACAN 
VALLEYOtumba as a city-state","Susan Toby
Evans,","12",1,"","2001-01-01T00:00:00Z","89-100",""
"","AZTEC-PERIOD POLITICAL ORGANIZATION IN THE TEOTIHUACAN 
VALLEYOtumba as a city-state","Susan Toby
Evans,","12",1,"","2001-01-01T00:00:00Z","89-100",""
"","AZTEC-PERIOD POLITICAL ORGANIZATION IN THE TEOTIHUACAN 
VALLEYOtumba as a city-state","Susan Toby
Evans,","12",1,"","2001-01-01T00:00:00Z","89-100",""
"","AZTEC-PERIOD POLITICAL ORGANIZATION IN THE TEOTIHUACAN 
VALLEYOtumba as a city-state","Susan Toby
Evans,","12",1,"","2001-01-01T00:00:00Z","89-100",""
"","AZTEC-PERIOD POLITICAL ORGANIZATION IN THE TEOTIHUACAN 
VALLEYOtumba as a city-state","Susan Toby
Evans,","12",1,"","2001-01-01T00:00:00Z","89-100",""
"","AZTEC-PERIOD POLITICAL ORGANIZATION IN THE TEOTIHUACAN 
VALLEYOtumba as a city-state","Susan Toby
Evans,","12",1,"","2001-01-01T00:00:00Z","89-100",""
"","AZTEC-PERIOD POLITICAL ORGANIZATION IN THE TEOTIHUACAN 
VALLEYOtumba as a city-state","Susan Toby
Evans,","12",1,"","2001-01-01T00:00:00Z","89-100",""
"10.1017/S0956536110000064","THE EARLY HORIZON AT TRES ZAPOTES: IMPLICATIONS FOR OLMEC INTERACTION","Christopher A. Pool, Ponciano Ortiz Ceballos, Mara del Carmen Rodrguez Martnez, Michael L. Loughlin, ","21",1,"","2010-01-01T00:00:00Z","95-105",""
"10.1017/S0956536110000064","THE EARLY HORIZON AT TRES ZAPOTES: IMPLICATIONS FOR OLMEC INTERACTION","Christopher A. Pool, Ponciano Ortiz Ceballos, Mara del Carmen Rodrguez Martnez, Michael L. Loughlin, ","21",1,"","2010-01-01T00:00:00Z","95-105",""
"10.1017/S0956536110000064","THE EARLY HORIZON AT TRES ZAPOTES: IMPLICATIONS FOR OLMEC INTERACTION","Christopher A. Pool, Ponciano Ortiz Ceballos, Mara del Carmen Rodrguez Martnez, Michael L. Loughlin, ","21",1,"","2010-01-01T00:00:00Z","95-105",""
"10.1017/S0956536110000064","THE EARLY HORIZON AT TRES ZAPOTES: IMPLICATIONS FOR OLMEC INTERACTION","Christopher A. Pool, Ponciano Ortiz Ceballos, Mara del Carmen Rodrguez Martnez, Michael L. Loughlin, ","21",1,"","2010-01-01T00:00:00Z","95-105",""
"10.1017/S0956536110000064","THE EARLY HORIZON AT TRES ZAPOTES: IMPLICATIONS FOR OLMEC INTERACTION","Christopher A. Pool, Ponciano Ortiz Ceballos, Mara del Carmen Rodrguez Martnez, Michael L. Loughlin, ","21",1,"","2010-01-01T00:00:00Z","95-105",""
"10.1017/S0956536110000064","THE EARLY HORIZON AT TRES ZAPOTES: IMPLICATIONS FOR OLMEC INTERACTION","Christopher A. Pool, Ponciano Ortiz Ceballos, Mara del Carmen Rodrguez Martnez, Michael L. Loughlin, ","21",1,"","2010-01-01T00:00:00Z","95-105",""
"10.1017/S0956536110000064","THE EARLY HORIZON AT TRES ZAPOTES: IMPLICATIONS FOR OLMEC INTERACTION","Christopher A. Pool, Ponciano Ortiz Ceballos, Mara del Carmen Rodrguez Martnez, Michael L. Loughlin, ","21",1,"","2010-01-01T00:00:00Z","95-105",""
"10.1017/S0956536110000064","THE EARLY HORIZON AT TRES ZAPOTES: IMPLICATIONS FOR OLMEC INTERACTION","Christopher A. Pool, Ponciano Ortiz Ceballos, Mara del Carmen Rodrguez Martnez, Michael L. Loughlin, ","21",1,"","2010-01-01T00:00:00Z","95-105",""
"10.1017/S0956536110000064","THE EARLY HORIZON AT TRES ZAPOTES: IMPLICATIONS FOR OLMEC INTERACTION","Christopher A. Pool, Ponciano Ortiz Ceballos, Mara del Carmen Rodrguez Martnez, Michael L. Loughlin, ","21",1,"","2010-01-01T00:00:00Z","95-105",""
"10.1017/S0956536110000064","THE EARLY HORIZON AT TRES ZAPOTES: IMPLICATIONS FOR OLMEC INTERACTION","Christopher A. Pool, Ponciano Ortiz Ceballos, Mara del Carmen Rodrguez Martnez, Michael L. Loughlin, ","21",1,"","2010-01-01T00:00:00Z","95-105",""
"10.1017/S0956536110000064","THE EARLY HORIZON AT TRES ZAPOTES: IMPLICATIONS FOR OLMEC INTERACTION","Christopher A. Pool, Ponciano Ortiz Ceballos, Mara del Carmen Rodrguez Martnez, Michael L. Loughlin, ","21",1,"","2010-01-01T00:00:00Z","95-105",""
"10.1017/S0956536110000064","THE EARLY HORIZON AT TRES ZAPOTES: IMPLICATIONS FOR OLMEC INTERACTION","Christopher A. Pool, Ponciano Ortiz Ceballos, Mara del Carmen Rodrguez Martnez, Michael L. Loughlin, ","21",1,"","2010-01-01T00:00:00Z","95-105",""
"10.1017/S0956536110000064","THE EARLY HORIZON AT TRES ZAPOTES: IMPLICATIONS FOR OLMEC INTERACTION","Christopher A. Pool, Ponciano Ortiz Ceballos, Mara del Carmen Rodrguez Martnez, Michael L. Loughlin, ","21",1,"","2010-01-01T00:00:00Z","95-105",""
"10.1017/laq.2017.62","THE ECONOMY OF SPECIALIZED CERAMIC CRAFT PRODUCTION IN THE CASAS GRANDES REGION","John R. Topi, Christine S. VanPool, Kyle D. Waller, Todd L. VanPool, ","29",1,"","2017-01-01T00:00:00Z","122-142",""
"10.2307/4141578","Ceramic Diversity in Chavn De Huantar, Peru","Isabelle C. Druc, ","15",3,"","2004-01-01T00:00:00Z","344-363",""
"10.2307/972065","","Ruth Fauman-Fichman, Penelope Ballard Drooker, Laurie D. Webster, ","12",2,"","2001-01-01T00:00:00Z","226-227",""
"10.2307/972065","","Ruth Fauman-Fichman, Penelope Ballard Drooker, Laurie D. Webster, ","12",2,"","2001-01-01T00:00:00Z","226-227",""
"10.2307/972065","","Ruth Fauman-Fichman, Penelope Ballard Drooker, Laurie D. Webster, ","12",2,"","2001-01-01T00:00:00Z","226-227",""
